0####-####step	0,0,0	0,0,0	None
1####-####connect####you####ps4####controller####to####you####computer####.####connect####you####ps4####controller####to####you####computer####.####use####a####usb####to####micro####-####usb####cable####,####connect####you####controller####to####a####usb####port####on####you####computer####.####you####can####usually####find####these####port####on####the####front####or####back####of####you####computer####tower####,####on####the####back####of####you####monitor####(####if####you####be####use####a####all####-####in####-####one####)####,####and####along####the####side####of####laptop####.####the####micro####-####usb####cable####plug####in####at####the####top####of####you####ps4####controller####.####-####;	0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
2####-####right####-####click####the####start####logo####.####right####-####click####the####start####logo####.####you####will####see####this####logo####in####the####bottom####leave####corner####of####you####screen####if####you####have####not####move####the####location####of####the####taskbar####.####-####a####menu####will####pop####up####from####you####mouse####.	0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
3####-####type####"####control####panel####.####type####"####control####panel####.####"####as####you####type####,####the####search####window####will####show####you####result####.	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
4####-####click####control####panel####to####launch####the####app.####click####control####panel####to####launch####the####app####.####you####should####see####this####list####as####a####app####under####"####best####result####.####"####-####if####you####do####not####see####it####here####,####you####can####open####the####run####dialog####(####⊞####win+r####,####enter####"####control####panel####"####and####press####'s####enter####.	0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
5####-####click####view####device####and####printer####.####click####view####device####and####printer####.####you####will####see####this####under####the####header####,####"####hardware####and####sound####.####"####-####you####will####see####a####list####of####all####you####connect####device####.	0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
6####-####right####-####click####wireless####controller####.####right####-####click####wireless####controller####.####you####will####see####this####with####the####picture####of####a####controller####that####closely####resemble####you####ps4####.	0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	True
7####-####click####game####controller####setting####.####click####game####controller####setting####.####this####be####usually####the####first####list####in####the####drop####-####down####menu####.####-####another####window####should####pop####up####.	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
8####-####click####property####.####click####property####.####you####will####see####this####in####the####lower####right####corner####of####the####window####that####pop####-####up####.	0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
9####-####press####the####button####on####you####controller####to####see####they####reaction####on####the####computer####screen####.####press####the####button####on####you####controller####to####see####they####reaction####on####the####computer####screen####.####you####will####see####a####bar####that####slide####to####show####how####hard####you####be####press####the####button####on####you####remote####.####-####for####example####,####the####graph####on####you####computer####screen####should####tell####you####how####hard####you####be####press####the####trigger####button####on####you####controller####.####[####1####]####-####x####-####research####source	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
0####-####step	0,0,0	0,0,0	None
1####-####connect####you####ps4####controller####to####you####computer####.####connect####you####ps4####controller####to####you####computer####.####use####a####usb####to####micro####-####usb####cable####,####connect####you####controller####to####a####usb####port####on####you####computer####.####you####can####usually####find####these####port####on####the####front####or####back####of####you####computer####tower####,####on####the####back####of####you####monitor####(####if####you####be####use####a####all####-####in####-####one####)####,####and####along####the####side####of####laptop####.####the####micro####-####usb####cable####plug####in####at####the####top####of####you####ps4####controller####.####-####;	0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
2####-####right####-####click####the####start####logo####.####right####-####click####the####start####logo####.####you####will####see####this####logo####in####the####bottom####leave####corner####of####you####screen####if####you####have####not####move####the####location####of####the####taskbar####.####-####a####menu####will####pop####up####from####you####mouse####.	0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
3####-####type####"####control####panel####.####type####"####control####panel####.####"####as####you####type####,####the####search####window####will####show####you####result####.	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
4####-####click####control####panel####to####launch####the####app.####click####control####panel####to####launch####the####app####.####you####should####see####this####list####as####a####app####under####"####best####result####.####"####-####if####you####do####not####see####it####here####,####you####can####open####the####run####dialog####(####⊞####win+r####,####enter####"####control####panel####"####and####press####'s####enter####.	0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
5####-####click####view####device####and####printer####.####click####view####device####and####printer####.####you####will####see####this####under####the####header####,####"####hardware####and####sound####.####"####-####you####will####see####a####list####of####all####you####connect####device####.	0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
6####-####right####-####click####wireless####controller####.####right####-####click####wireless####controller####.####you####will####see####this####with####the####picture####of####a####controller####that####closely####resemble####you####ps4####.	0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
7####-####click####game####controller####setting####.####click####game####controller####setting####.####this####be####usually####the####first####list####in####the####drop####-####down####menu####.####-####another####window####should####pop####up####.	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
8####-####click####property####.####click####property####.####you####will####see####this####in####the####lower####right####corner####of####the####window####that####pop####-####up####.	0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
9####-####press####the####button####on####you####controller####to####see####they####reaction####on####the####computer####screen####.####press####the####button####on####you####controller####to####see####they####reaction####on####the####computer####screen####.####you####will####see####a####bar####that####slide####to####show####how####hard####you####be####press####the####button####on####you####remote####.####-####for####example####,####the####graph####on####you####computer####screen####should####tell####you####how####hard####you####be####press####the####trigger####button####on####you####controller####.####[####1####]####-####x####-####research####source	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
0####-####connecting####wirelessly	0,0,0,0	0,0,0,0	None
1####-####turn####on####you####xbox####one####console####.####turn####on####you####xbox####one####console####.####you####will####see####the####power####button####on####the####right####side####of####the####unit####if####you####have####it####position####horizontally####.####-####;	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
2####-####insert####battery####into####you####controller####.####insert####battery####into####you####controller####.####some####model####of####the####xbox####remote####,####like####the####xbox####elite####wireless####controller####series####2####and####the####xbox####adaptive####controller####have####build####-####in####battery####and####come####with####a####usb####-####c####cable####for####charge####.####other####model####of####xbox####controller####require####aa####battery####or####rechargeable####battery####to####work####.####[####1####]####-####x####-####research####source####-####-####you####can####get####a####xbox####one####play####&####charge####kit####that####come####with####a####rechargeable####battery####and####charge####cable####.####[####2####]####-####x####-####research####source	0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
3####-####press####and####hold####the####xbox####button####on####you####controller####.####press####and####hold####the####xbox####button####on####you####controller####.####this####be####the####large####circular####button####center####in####you####controller####with####the####xbox####logo####.####-####the####button####should####flash####to####indicate####that####it####be####unpaired####and####look####for####something####to####connect####with####.####-####you####can####release####the####xbox####button####on####you####controller####when####the####button####be####flash####.	0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	None
4####-####press####the####bind####button####on####the####console####.####press####the####bind####button####on####the####console####.####if####you####be####xbox####one####x####or####xbox####one####'s####be####horizontally####position####,####you####will####see####this####button####on####the####right####side####of####the####unit####'s####face####,####below####the####power####button####.####-####if####you####have####a####original####xbox####one####,####the####bind####button####be####a####circular####button####on####the####side####,####around####the####edge####of####the####unit####from####the####disc####tray####.	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
5####-####press####and####hold####the####controller####'s####bind####/####sync####button####.####press####and####hold####the####controller####'s####bind####/####sync####button####.####this####be####the####circular####button####on####top####of####the####controller####(####not####the####xbox####button####)####.####-####release####this####button####when####you####see####the####xbox####button####flash####a####few####more####time####.####-####when####the####xbox####button####remain####light####,####you####controller####be####connect####to####you####console####.####[####3####]####-####x####-####research####source	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
0####-####connecting####wirelessly	0,0,0,0	0,0,0,0	None
1####-####turn####on####you####xbox####one####console####.####turn####on####you####xbox####one####console####.####you####will####see####the####power####button####on####the####right####side####of####the####unit####if####you####have####it####position####horizontally####.####-####;	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
2####-####insert####battery####into####you####controller####.####insert####battery####into####you####controller####.####some####model####of####the####xbox####remote####,####like####the####xbox####elite####wireless####controller####series####2####and####the####xbox####adaptive####controller####have####build####-####in####battery####and####come####with####a####usb####-####c####cable####for####charge####.####other####model####of####xbox####controller####require####aa####battery####or####rechargeable####battery####to####work####.####[####1####]####-####x####-####research####source####-####-####you####can####get####a####xbox####one####play####&####charge####kit####that####come####with####a####rechargeable####battery####and####charge####cable####.####[####2####]####-####x####-####research####source	0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
3####-####press####and####hold####the####xbox####button####on####you####controller####.####press####and####hold####the####xbox####button####on####you####controller####.####this####be####the####large####circular####button####center####in####you####controller####with####the####xbox####logo####.####-####the####button####should####flash####to####indicate####that####it####be####unpaired####and####look####for####something####to####connect####with####.####-####you####can####release####the####xbox####button####on####you####controller####when####the####button####be####flash####.	0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
4####-####press####the####bind####button####on####the####console####.####press####the####bind####button####on####the####console####.####if####you####be####xbox####one####x####or####xbox####one####'s####be####horizontally####position####,####you####will####see####this####button####on####the####right####side####of####the####unit####'s####face####,####below####the####power####button####.####-####if####you####have####a####original####xbox####one####,####the####bind####button####be####a####circular####button####on####the####side####,####around####the####edge####of####the####unit####from####the####disc####tray####.	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
5####-####press####and####hold####the####controller####'s####bind####/####sync####button####.####press####and####hold####the####controller####'s####bind####/####sync####button####.####this####be####the####circular####button####on####top####of####the####controller####(####not####the####xbox####button####)####.####-####release####this####button####when####you####see####the####xbox####button####flash####a####few####more####time####.####-####when####the####xbox####button####remain####light####,####you####controller####be####connect####to####you####console####.####[####3####]####-####x####-####research####source	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
0####-####connecting####wirelessly	0,0,0,0	0,0,0,0	None
1####-####turn####on####you####xbox####one####console####.####turn####on####you####xbox####one####console####.####you####will####see####the####power####button####on####the####right####side####of####the####unit####if####you####have####it####position####horizontally####.####-####;	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
